numGroups,matchDuration
4,953.0666666666667
6,1102.0
7,1047.0
8,1675.0
14,1501.0
15,1878.0
16,1732.6241134751774
17,1726.0361990950225
18,1712.4100529100529
19,1601.2043010752689
20,1654.7903846153847
21,1456.0821917808219
22,1786.7098214285713
23,1626.4281345565748
24,1481.4868035190616
25,1504.1480446927374
26,1684.7088607594937
27,1599.2897196261683
28,1575.4
29,1570.909090909091
30,1463.3333333333333
31,1606.1271186440679
32,1767.4444444444443
33,1696.5245098039215
34,1755.3497757847533
35,1771.919881305638
36,1717.1188034188035
37,1682.462762933485
38,1700.8691335740073
39,1703.9746569814367
40,1737.0007630998814
41,1667.226121058878
42,1697.542649071611
43,1670.2349521871254
44,1658.4635189476553
45,1634.038547881922
46,1597.2729306487695
47,1567.5014074242092
48,1549.4970470702258
49,1505.9673787341912
50,1474.3100195320617
51,1391.0
