kills,winPlacePerc
0,0.3614412774729357
1,0.4986716585186427
2,0.6010451730563676
3,0.6892038844451678
4,0.7565851123285658
5,0.8138508892577392
6,0.8531537225518434
7,0.8804822606689651
8,0.9020343898789283
9,0.9207068181818235
10,0.935126782035434
11,0.9451069999999991
12,0.9537899752475236
13,0.96246746506986
14,0.9624104761904763
15,0.965842702702703
16,0.9716447619047622
17,0.9736242857142855
18,0.9530022222222224
19,0.9776625000000001
20,0.9744142857142857
21,0.9923333333333334
22,0.9227166666666666
23,1.0
26,1.0
33,1.0
