numGroups,matchDuration
1,1516.701754385965
2,1807.942686191151
8,1078.0
13,1102.0
14,1302.0
16,1143.0
18,1074.0
19,1499.375
20,1677.2413793103449
21,1511.093023255814
22,1210.7058823529412
25,1248.0
26,1208.5
27,1271.0
28,2015.0
29,1228.0
31,1576.875
32,1221.0
33,1613.1857142857143
34,1477.0794979079499
35,1723.835616438356
36,1486.25
37,1565.9257641921397
38,2017.4102564102564
39,1500.0
40,1901.0
42,1604.0666666666666
44,1308.2857142857142
46,1464.6830985915492
49,1875.0
50,1746.482142857143
51,1498.5483870967741
52,1874.387878787879
53,1536.6593406593406
54,1879.892857142857
55,1385.0
56,1336.3470588235293
57,1935.0
58,1400.5
59,1470.8493723849372
60,1709.6299212598426
61,1449.6074074074074
62,1467.0
63,1474.8880597014925
64,1755.820823244552
65,1550.8215962441313
66,1389.0
67,1655.5588752196836
68,1366.6690647482014
69,1596.6845637583892
70,1840.896373056995
71,1497.3858695652175
72,1435.9899425287356
73,1699.1773455377574
74,1679.1314229249012
75,1612.5153203342618
76,1640.5895816890293
77,1623.4573082489146
78,1549.2420197330239
79,1566.7811874583056
80,1562.5389030612246
81,1707.8690568978955
82,1646.5098398169337
83,1678.9426229508197
84,1673.1314655172414
85,1723.5404385073327
86,1702.210885877478
87,1709.167440551569
88,1675.4148280406412
89,1670.4279790930593
90,1671.5470339074159
91,1655.880215219627
92,1632.8529606329853
93,1625.6966470918187
94,1574.0401948463352
95,1560.9243095257268
96,1532.3978855611508
97,1492.749909795182
98,1501.37194734453
99,1472.9829855936414
100,1391.7142857142858
