numGroups,matchDuration
2,917.5833333333334
4,990.578947368421
5,1396.5
6,1135.0
7,1207.0
8,1693.4220183486239
9,1542.0
10,1572.797619047619
11,1779.1894273127753
12,1796.4837837837838
13,1652.6716666666666
14,1802.401215805471
15,1597.222014925373
16,1697.5229357798164
17,1688.4086021505377
18,1520.5807086614172
19,1694.6338215712383
20,1630.644541963796
21,1611.6653497559842
22,1640.9480613425926
23,1613.2629418773997
24,1588.7957422891852
25,1581.8087055891158
26,1569.3414627103432
27,1560.7591836126462
28,1564.8129804915811
29,1555.4439761051374
30,1568.2607622703592
31,1523.2428481200773
32,1521.1258608406554
33,1478.6799718656584
34,1426.9362467866324
35,1431.330612244898
36,1418.0
37,1412.0
