kills,winPlacePerc
0,0.3672889273696561
1,0.4958977908975903
2,0.5977414234992927
3,0.678964809089725
4,0.7473870447797109
5,0.8037840660126172
6,0.8439752833077814
7,0.8703040618611618
8,0.8932333487797367
9,0.9094267676767711
10,0.9271608753907962
11,0.9379452784503621
12,0.9478223634053357
13,0.9559333333333333
14,0.9596701587301588
15,0.9625894444444447
16,0.9714529411764704
17,0.9770018867924527
18,0.9628666666666669
19,0.9766736842105262
20,0.9852666666666666
21,0.991375
22,0.9337571428571427
23,0.9677333333333333
24,1.0
25,1.0
26,1.0
33,1.0
