kills,winPlacePerc
0,0.39553831655032085
1,0.5542069299640829
2,0.6553139098416986
3,0.7442668397585118
4,0.8023066470186716
5,0.8538137547925844
6,0.8852332287257161
7,0.9108020933165193
8,0.927358285225574
9,0.9384901133947573
10,0.9478736717827614
11,0.9595792099792096
12,0.9632650470219429
13,0.9717474431818182
14,0.9758552631578948
15,0.96838347107438
16,0.9829064102564106
17,0.9843194444444442
18,0.9878125
19,0.9975461538461539
20,0.98835
21,0.9927
22,1.0
23,0.9642666666666667
24,1.0
25,1.0
