numGroups,matchDuration
1,1516.701754385965
2,1807.009279647688
4,989.0
5,1441.5625
6,1118.5
7,1087.0
8,1542.6296296296296
10,1585.391304347826
12,1609.0263157894738
13,1303.0740740740741
14,1637.6333333333334
15,1664.5252525252524
16,1629.8560606060605
17,1751.941605839416
18,1380.7632653061225
19,1565.9579439252336
20,1567.139534883721
21,1576.2884615384614
22,1606.9163281884646
23,1599.7027890761185
24,1589.426014198783
25,1597.1036064161913
26,1590.6737326028087
27,1597.7727561228705
28,1606.1635116973052
29,1605.8414631742842
30,1616.9547083020036
31,1594.961606776882
32,1645.2547115933753
33,1556.8849557522124
34,1539.4967320261437
35,1675.5594059405942
36,1748.793918918919
37,1489.7777777777778
38,1638.0915395284328
39,1601.767476085357
40,1710.3335186214563
41,1635.0433835541842
42,1655.0723753418893
43,1634.4836435010177
44,1654.1356911646499
45,1634.509635974304
46,1612.3497202510916
47,1592.082510045956
48,1594.3996506445008
49,1554.3641365223693
50,1496.1976093206233
51,1309.0
52,1867.0
53,1310.5
56,1299.6947368421052
57,1935.0
59,1280.3763440860216
61,1282.0
62,1467.0
63,1414.0913461538462
64,1892.0
67,1512.0740740740741
72,1278.4690265486727
73,1373.0
75,1494.6244541484716
77,1658.0
78,1599.4830508474577
79,1679.7894736842106
80,1415.3488372093022
81,1605.94459833795
82,1590.5901328273244
83,1529.1128349788435
84,1582.950641025641
85,1661.2830858618463
86,1637.5551861702127
87,1652.7881415186687
88,1620.6312780095811
89,1626.0098762968876
90,1631.6967250056337
91,1623.2779701608467
92,1615.321726855664
93,1626.5537092648203
94,1587.5870008286859
95,1583.1472183224598
96,1593.0535608717928
97,1571.1585737063342
98,1600.2550394390885
99,1537.4785303231517
100,1389.274647887324
